,factor1_measure,factor2_measure,factor3_measure,factor4_measure,factor5_measure,factor6_measure,student
1585,,,,,17.5,15.6666666667,363243
1586,,,,,14.5,,363370
1587,13.0,11.6666666667,11.3333333333,15.25,12.5714285714,,363627
1588,0.0,13.0,10.3333333333,14.75,0.0,13.25,363899
1589,18.7,19.0,19.5555555556,17.0,18.4285714286,18.0,363901
1590,0.0,0.0,0.0,12.5,0.0,,363902
1591,17.1,17.0,17.4444444444,17.75,16.5714285714,,363903
1592,,,,,15.5,18.0,363949
1593,0.0,11.3333333333,0.0,11.75,0.0,0.0,364007
1594,14.1,11.6666666667,11.8888888889,15.5,14.8571428571,14.3333333333,364010
1595,0.0,11.0,0.0,17.75,0.0,0.0,364017
